txn Hash,Method,Block,Age,Sender,Receiver,Value,Txn Fee
0xb6abcfed02dc446f98c4f56ea19ab48ec1356c52a066f639348a2c3af4c33dfb,Transfer,19398345,16 secs ago,Uphold 2,Tether: USDT Stablecoin,0.0,0.00497915
0xa4855822ec3c95bb28afb86eaf70357b8c79c97f0478ec40189d977e42576f27,Transfer,19398345,16 secs ago,0xBc761ee2...46B4A3417,Tether: USDT Stablecoin,0.0,0.00363145
0xd2544bedad3c5f555b30c7eaa6f41c7e7fa943347f44ae3df686de7222f16e27,Transfer,19398345,16 secs ago,0x9F6EaB2C...d800cC2B9,Tether: USDT Stablecoin,0.0,0.00325341
0xefab943965330780e55a1dbc7616bded1c19f8abb2a848e6afcdf1e6a3de3559,Take Ask Single,19398345,16 secs ago,0x1dAF5157...04Bb6D9D4,Blur.io: Marketplace 3,1.4,0.01191773
0x81f50438c42eb90b8b96301727ce9d1f60fb2b3922e4a4986921df05a201501d,Transfer,19398345,16 secs ago,Gamdom: Hot Wallet,Tether: USDT Stablecoin,0.0,0.00500981
0xafafeec8869277b93b10931f9cfcca968e681f5d40de68db5414769ecaa37bb9,Transfer,19398345,16 secs ago,0xd5EBb6f3...28E3474cE,Axie Infinity: AXS Token,0.0,0.00237016
0xdc3d75dab6428c94202f24069eef98b424c58abd66552bd10f88df5c04bc48df,Transfer,19398345,16 secs ago,Binance 16,Jasmy: JASMY Token,0.0,0.00277174
0x9a28cf597c2a638ef96363df2e575c8783c0816df46f40447b5add7b0efdad4e,Transfer,19398345,16 secs ago,Binance 14,Tether: USDT Stablecoin,0.0,0.00504142
0xbebb641af3f8c93b4cd0b8a9a48dcc7d4655c84a4af74a7521ee99af2a1524f2,Approve,19398348,2 secs ago,0x621a9cE1...72fF6c353,0xe2512A2f...cD564827b,0.0,0.00343704
0x1cca2f959edec116255b90311a2b4629a02a30b46aec417abaa0e9983bd9d7a2,Transfer,19398348,2 secs ago,0x5Ef66b85...e3521ea3C,Tether: USDT Stablecoin,0.0,0.00343041
0xfd9c27d875645844aa486815dd8e87964d1f123830045c178ff4165003345e9e,Transfer,19398348,2 secs ago,0x077D360f...c9be7C4A4,0x573c07AF...835500E18,0.01503803,0.001638
0xcd377739a6217f4e7f163be61647b9be2ec888358f9540c0412229ec1a55e273,Transfer,19398348,2 secs ago,0x48c04ed5...e8f38a7fF,SingularityNET: AGIX Token,0.0,0.0028718
0xcea2dab9708c37e15fc1eb6cc7595b38c7896d17a854498044a8663f439d2942,Transfer,19398348,2 secs ago,Crypto.com 2,0x22b37ED8...870c4AE1C,0.260326653,0.00168324
0x3192f171271e6391dc654109b38009d9051746edc2ab670ea16c162495312a35,Transfer,19398348,2 secs ago,Crypto.com 2,0x1dE9f20c...47a53045a,0.02902,0.00168324
0xecf5e5f1ad57f56d067956dfbda838abe5f14793ee7424fafa56eaf036d3984c,Transfer,19398348,2 secs ago,0x62D63eFD...1A41A0809,Hop: HOP Token,0.0,0.00285768
0xdee50cb35b9cfcb665ae9b625c80de91f04a164de40863dd37a6095cbe9073f2,Transfer,19398348,2 secs ago,0x1AB4973a...7688f8F23,0x6E89876A...439bbe2E9,7.5994e-05,0.00174022
0xf7d1490f9d054ae577d5aa5560418d3f1f08a3086bd5287020d40d28099ca2ca,Transfer,19398348,2 secs ago,0x27A1C017...D3fbeD903,TrustToken: TRU Token,0.0,0.00526413
0x0a19616faf6480da09a604ac2e8fe3244938863c1d96ea588d79888dcd922619,Transfer,19398348,2 secs ago,0xa8d83402...61696A11D,Chainlink: LINK Token,0.0,0.00465266
0xc860c83c987da2295b1e324414ed153ae385e461530472ff4bb37a698cc33c16,Transfer,19398348,2 secs ago,0x183dd557...873a45F67,0x21c7a4B0...6ddb32FE2,0.021560231,0.00249508
0x99703c2cb109fe6a2b8cf9996142955adb076154169141825383741fd24afa78,Swap Exact Token...,19398348,2 secs ago,0x65A8F07B...DBC077675,Uniswap V2: Router 2,0.0,0.01000956
0x966c8c7fa009a6bf489358d2e2aaf17e927ec43f7ed2273bdfa21d6cd9582b48,Transfer,19398348,2 secs ago,0x2d046177...A279EA541,0x8c60A796...8F338cC03,0.003567141,0.00226666
0x415f85327f569e5b879693c695ef66ff2916e12593bc3a74ee223cd70c368cf5,0x9871efa4,19398348,2 secs ago,0x62B32852...Fe648DB70,0xF3dE3C0d...172509127,2.0,0.01028506
0xdfbbba12cb1b07c0a05e1b008bb77fe7430f3275a20c70bc443ca9356de637cf,Swap Exact Token...,19398348,2 secs ago,0x55E96386...2a04E291B,Maestro: Router 2,0.0,0.0116518
